s048,s025,FN
s048,s025,FN
s048,s038,FN
s048,s048,TP
s048,s037,FN
s048,s048,TP
s048,s025,FN
s048,s025,FN
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s008,FN
s048,s008,FN
s048,s048,TP
s048,s002,FN
s048,s048,TP
s048,s018,FN
s048,s048,TP
s048,s032,FN
s048,s048,TP
s048,s008,FN
s048,s054,FN
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s015,FN
s048,s015,FN
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s037,FN
s048,s048,TP
s048,s054,FN
s048,s008,FN
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s029,FN
s048,s051,FN
s048,s029,FN
s048,s051,FN
s048,s039,FN
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s051,FN
s048,s048,TP
s048,s037,FN
s048,s007,FN
s048,s008,FN
s048,s008,FN
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s008,FN
s048,s048,TP
s048,s008,FN
s048,s048,TP
s048,s018,FN
s048,s048,FN
s048,s048,TP
s048,s002,FN
s048,s018,FN
s048,s011,FN
s048,s048,TP
s048,s048,TP
s048,s039,FN
s048,s002,FN
s048,s048,TP
s048,s048,TP
s048,s008,FN
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s054,FN
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
s048,s048,TP
